Date,Category,Description,Amount,Type
2024-03-01,Food,Grocery,50.75,Expense
2024-03-02,Rent,Monthly Rent,1200.0,Expense
2024-03-03,Utilities,Electricity Bill,60.0,Expense
2024-03-04,Food,Dinner,30.0,Expense
2024-03-05,Transport,Bus Ticket,2.75,Expense
2024-03-06,Food,Breakfast,15.0,Expense
2024-03-07,Income,Salary,2000.0,Income
2024-03-08,Income,Freelance Work,500.0,Income
2024-03-09,Utilities,Water Bill,40.0,Expense
2024-03-10,Food,Lunch,25.0,Expense
2024-03-11,Transport,Taxi,25.0,Expense
2024-03-12,Income,Investment Return,200.0,Income
2024-03-13,Food,Groceries,80.0,Expense
2024-03-14,Rent,Monthly Rent,1200.0,Expense
2024-03-15,Food,Snacks,10.5,Expense
2024-03-16,Utilities,Internet Bill,45.0,Expense
2024-03-17,Transport,Train Ticket,5.5,Expense
2024-03-18,Food,Coffee,4.25,Expense
2024-03-19,Income,Bonus,300.0,Income
2024-03-20,Food,Dinner Out,70.0,Expense
2024-03-21,Income,Part-time Job,400.0,Income
2024-03-22,Utilities,Garbabe Collection,30.0,Expense
2024-03-23,Food,Takeout,40.0,Expense
2024-03-24,Transport,Car Fuel,50.0,Expense
2024-03-25,Income,Selling Old Items,150.0,Income
2024-03-26,Food,Meal Prep,60.0,Expense
2024-03-27,Rent,Security Deposit,1200.0,Expense
2024-03-28,Utilities,Gas Bill,55.0,Expense
2024-03-29,Food,Bakery,20.0,Expense
2024-03-30,Income,Dividends,100.0,Income
2024-03-31,Transport,Ride Share,15.0,Expense
2024-04-01,Food,Fast Food,12.0,Expense
2024-04-02,Rent,Studio Rent,1200.0,Expense
2024-04-03,Utilities,Cable Bill,70.0,Expense
2024-04-04,Food,Lunch Out,20.0,Expense
2024-04-05,Transport,Parking Fee,8.0,Expense
2024-04-06,Income,Salary,2100.0,Income
2024-04-07,Income,Side Hustle,600.0,Income
2024-04-08,Utilities,Heating Bill,50.0,Expense
2024-04-09,Food,Catering,150.0,Expense
2024-04-10,Transport,Metro Pass,40.0,Expense
2024-04-11,Income,Gift Money,250.0,Income
2024-04-12,Food,Picnic,35.0,Expense
2024-04-13,Rent,Utilities Fee,1200.0,Expense
2024-04-14,Utilities,Phone Bill,60.0,Expense
2024-04-15,Food,Desserts,25.0,Expense
2024-04-16,Income,Affiliate Marketing,300.0,Income
2024-04-17,Transport,Bike Maintenance,20.0,Expense
2024-04-18,Food,Ice Cream,10.0,Expense
2024-04-19,Income,Art Commission,500.0,Income
2024-04-20,Utilities,Security System,45.0,Expense
2024-04-21,Food,Breakfast Out,18.0,Expense
2024-04-22,Transport,Gasoline,30.0,Expense
2024-04-23,Income,Web Development,700.0,Income
2024-04-24,Food,Lunch With Friends,50.0,Expense
2024-04-25,Utilities,Pool Maintenance,80.0,Expense
2024-04-26,Transport,Airport Shuttle,45.0,Expense
2024-04-27,Food,Food Delivery,40.0,Expense
2024-04-28,Income,Investment Dividend,220.0,Income
2024-04-29,Food,Food Truck,30.0,Expense
2024-04-30,Utilities,Water Heater Repair,150.0,Expense
2024-05-01,Transport,Car Wash,15.0,Expense
2024-05-02,Food,Chocolate,5.0,Expense
2024-05-03,Income,Photography Session,350.0,Income
2024-05-04,Utilities,Sewer Bill,65.0,Expense
2024-05-05,Food,Brunch,35.0,Expense
2024-05-06,Income,Website Subscription,100.0,Income
2024-05-07,Transport,Bike Rental,20.0,Expense
2024-05-08,Utilities,Lawn Care,100.0,Expense
2024-05-09,Income,Affiliate Earnings,300.0,Income
2024-05-10,Food,Barbecue,55.0,Expense
2024-05-11,Transport,Long-Distance Train,90.0,Expense
